operation1,operation2,split,train_fold,run,bacc
equalize,brightness,4,0,45327098,0.8270889520645142
equalize,brightness,4,1,45327098,0.7901477813720703
equalize,contrast,0,0,45332627,0.8039494752883911
equalize,contrast,0,1,45332627,0.7699205875396729
equalize,contrast,1,0,45332627,0.776775598526001
equalize,contrast,1,1,45332627,0.8249123096466064
equalize,contrast,2,0,45332627,0.7963569164276123
equalize,contrast,2,1,45332627,0.7930893898010254
equalize,contrast,3,0,45332627,0.7850086688995361
equalize,contrast,3,1,45332627,0.8243213891983032
equalize,contrast,4,0,45332627,0.8129673004150391
equalize,contrast,4,1,45332627,0.7955108880996704
equalize,gaussian_blur,0,0,45327106,0.8007748126983643
equalize,gaussian_blur,0,1,45327106,0.8042107820510864
equalize,gaussian_blur,1,0,45327106,0.7921189069747925
equalize,gaussian_blur,1,1,45327106,0.815544605255127
equalize,gaussian_blur,2,0,45327106,0.7894225716590881
equalize,gaussian_blur,2,1,45327106,0.7879593372344971
equalize,gaussian_blur,3,0,45327106,0.7895748615264893
equalize,gaussian_blur,3,1,45327106,0.8101648092269897
equalize,gaussian_blur,4,0,45327106,0.799920916557312
equalize,gaussian_blur,4,1,45327106,0.788618803024292
equalize,gaussian_noise,0,0,45327874,0.8176026344299316
equalize,gaussian_noise,0,1,45327874,0.8257267475128174
equalize,gaussian_noise,1,0,45327874,0.8226531744003296
equalize,gaussian_noise,1,1,45327874,0.8159710168838501
equalize,gaussian_noise,2,0,45327874,0.8309335708618164
equalize,gaussian_noise,2,1,45327874,0.8018985986709595
equalize,gaussian_noise,3,0,45327874,0.8384648561477661
equalize,gaussian_noise,3,1,45327874,0.8436945676803589
equalize,gaussian_noise,4,0,45327874,0.8601198196411133
equalize,gaussian_noise,4,1,45327874,0.8220705986022949
equalize,grid_distortion,0,0,45332072,0.8175097703933716
equalize,grid_distortion,0,1,45332072,0.8170027732849121
equalize,grid_distortion,1,0,45332072,0.8276859521865845
equalize,grid_distortion,1,1,45332072,0.8092890977859497
equalize,grid_distortion,2,0,45332072,0.8041273355484009
equalize,grid_distortion,2,1,45332072,0.8006805181503296
equalize,grid_distortion,3,0,45332072,0.8144419193267822
equalize,grid_distortion,3,1,45332072,0.8234841823577881
equalize,grid_distortion,4,0,45332072,0.8383641242980957
equalize,grid_distortion,4,1,45332072,0.8096218109130859
equalize,horizontal_flip,0,0,45332977,0.8118444681167603
equalize,horizontal_flip,0,1,45332977,0.7958279848098755
equalize,horizontal_flip,1,0,45332977,0.8030421733856201
equalize,horizontal_flip,1,1,45332977,0.8133009672164917
equalize,horizontal_flip,2,0,45332977,0.825989842414856
equalize,horizontal_flip,2,1,45332977,0.7867016792297363
equalize,horizontal_flip,3,0,45332977,0.7982841730117798
equalize,horizontal_flip,3,1,45332977,0.8127027750015259
equalize,horizontal_flip,4,0,45332977,0.8235980272293091
equalize,horizontal_flip,4,1,45332977,0.8012391328811646
equalize,median_blur,0,0,45332893,0.8298919200897217
equalize,median_blur,0,1,45332893,0.8024414777755737
equalize,median_blur,1,0,45332893,0.7779438495635986
equalize,median_blur,1,1,45332893,0.8204032182693481
equalize,median_blur,2,0,45332893,0.8131530284881592
equalize,median_blur,2,1,45332893,0.7879593372344971
equalize,median_blur,3,0,45332893,0.7893434762954712
