transform,train_fold,split,bacc,bacc_baseline,diff
grid_distortion,1,4,0.7817574739456177,0.749057412147522,0.0327000617980957
horizontal_flip,0,0,0.7467787265777588,0.7265173196792603,0.020261406898498535
horizontal_flip,0,1,0.7505099773406982,0.7391587495803833,0.011351227760314941
horizontal_flip,0,2,0.7435818910598755,0.7275251150131226,0.01605677604675293
horizontal_flip,0,3,0.7445008158683777,0.7262378334999084,0.01826298236846924
horizontal_flip,0,4,0.7376500964164734,0.7214546203613281,0.016195476055145264
horizontal_flip,1,0,0.751598596572876,0.731102705001831,0.020495891571044922
horizontal_flip,1,1,0.7604809999465942,0.738571047782898,0.02190995216369629
horizontal_flip,1,2,0.7434285879135132,0.7346861362457275,0.008742451667785645
horizontal_flip,1,3,0.7598496675491333,0.7382703423500061,0.021579325199127197
horizontal_flip,1,4,0.762869119644165,0.749057412147522,0.013811707496643066
median_blur,0,0,0.7379084825515747,0.7265173196792603,0.011391162872314453
median_blur,0,1,0.7524447441101074,0.7391587495803833,0.013285994529724121
median_blur,0,2,0.7669652700424194,0.7275251150131226,0.039440155029296875
median_blur,0,3,0.744926929473877,0.7262378334999084,0.018689095973968506
median_blur,0,4,0.7288949489593506,0.7214546203613281,0.007440328598022461
median_blur,1,0,0.7599042654037476,0.731102705001831,0.028801560401916504
median_blur,1,1,0.7453426122665405,0.738571047782898,0.006771564483642578
median_blur,1,2,0.7438468933105469,0.7346861362457275,0.009160757064819336
median_blur,1,3,0.7533977031707764,0.7382703423500061,0.015127360820770264
median_blur,1,4,0.7730971574783325,0.749057412147522,0.024039745330810547
random_crop,0,0,0.7480392456054688,0.7265173196792603,0.021521925926208496
random_crop,0,1,0.7574605941772461,0.7391587495803833,0.018301844596862793
random_crop,0,2,0.7701398134231567,0.7275251150131226,0.04261469841003418
random_crop,0,3,0.7585836052894592,0.7262378334999084,0.03234577178955078
random_crop,0,4,0.7582231163978577,0.7214546203613281,0.03676849603652954
random_crop,1,0,0.7685848474502563,0.731102705001831,0.03748214244842529
random_crop,1,1,0.759057879447937,0.738571047782898,0.020486831665039062
random_crop,1,2,0.7626027464866638,0.7346861362457275,0.02791661024093628
