transform,train_fold,split,bacc,bacc_baseline,diff
gaussian_blur,1,1,0.47517555952072144,0.4517035484313965,0.02347201108932495
gaussian_blur,1,2,0.4760316014289856,0.46259772777557373,0.013433873653411865
gaussian_blur,1,3,0.4481344223022461,0.441262423992157,0.006871998310089111
gaussian_blur,1,4,0.47981172800064087,0.48202264308929443,-0.0022109150886535645
gaussian_noise,0,0,0.5083290934562683,0.4572561979293823,0.051072895526885986
gaussian_noise,0,1,0.48482438921928406,0.46093738079071045,0.02388700842857361
gaussian_noise,0,2,0.4916108250617981,0.46584194898605347,0.02576887607574463
gaussian_noise,0,3,0.5044214725494385,0.47595125436782837,0.028470218181610107
gaussian_noise,0,4,0.4507185220718384,0.4360010027885437,0.014717519283294678
gaussian_noise,1,0,0.4764711856842041,0.44320130348205566,0.03326988220214844
gaussian_noise,1,1,0.5015612840652466,0.4517035484313965,0.0498577356338501
gaussian_noise,1,2,0.5030279159545898,0.46259772777557373,0.04043018817901611
gaussian_noise,1,3,0.4958113431930542,0.441262423992157,0.05454891920089722
gaussian_noise,1,4,0.5238184928894043,0.48202264308929443,0.04179584980010986
grid_distortion,0,0,0.47964125871658325,0.4572561979293823,0.022385060787200928
grid_distortion,0,1,0.4946328401565552,0.46093738079071045,0.03369545936584473
grid_distortion,0,2,0.5148643851280212,0.46584194898605347,0.04902243614196777
grid_distortion,0,3,0.49398258328437805,0.47595125436782837,0.018031328916549683
grid_distortion,0,4,0.4663695991039276,0.4360010027885437,0.03036859631538391
grid_distortion,1,0,0.48366886377334595,0.44320130348205566,0.04046756029129028
grid_distortion,1,1,0.5085393190383911,0.4517035484313965,0.05683577060699463
grid_distortion,1,2,0.48267102241516113,0.46259772777557373,0.020073294639587402
grid_distortion,1,3,0.47016388177871704,0.441262423992157,0.02890145778656006
grid_distortion,1,4,0.5068784952163696,0.48202264308929443,0.024855852127075195
horizontal_flip,0,0,0.4934779107570648,0.4572561979293823,0.036221712827682495
horizontal_flip,0,1,0.4769335687160492,0.46093738079071045,0.015996187925338745
horizontal_flip,0,2,0.48546311259269714,0.46584194898605347,0.019621163606643677
