augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
top10,5,3,0,0.8334144353866577,0.7818577289581299,0.05155670642852783
top10,5,3,1,0.8715670108795166,0.8332014083862305,0.03836560249328613
top10,5,4,0,0.8376128673553467,0.8177568912506104,0.019855976104736328
top10,5,4,1,0.8387194871902466,0.7744848728179932,0.06423461437225342
top5,1,0,0,0.8588665723800659,0.7718732953071594,0.0869932770729065
top5,1,0,1,0.8466746807098389,0.7882920503616333,0.058382630348205566
top5,1,1,0,0.8233746290206909,0.7598034739494324,0.06357115507125854
top5,1,1,1,0.8660874366760254,0.8089780807495117,0.05710935592651367
top5,1,2,0,0.8494969606399536,0.7775148749351501,0.07198208570480347
top5,1,2,1,0.8383471965789795,0.7833554148674011,0.05499178171157837
top5,1,3,0,0.8325624465942383,0.7818577289581299,0.0507047176361084
top5,1,3,1,0.8800662755966187,0.8332014083862305,0.046864867210388184
top5,1,4,0,0.8613572120666504,0.8177568912506104,0.04360032081604004
top5,1,4,1,0.814612627029419,0.7744848728179932,0.04012775421142578
top5,2,0,0,0.8729803562164307,0.7718732953071594,0.10110706090927124
top5,2,0,1,0.8590235710144043,0.7882920503616333,0.070731520652771
top5,2,1,0,0.8320149183273315,0.7598034739494324,0.07221144437789917
top5,2,1,1,0.8707910776138306,0.8089780807495117,0.06181299686431885
top5,2,2,0,0.8598904609680176,0.7775148749351501,0.08237558603286743
top5,2,2,1,0.8334884643554688,0.7833554148674011,0.05013304948806763
top5,2,3,0,0.8337069749832153,0.7818577289581299,0.05184924602508545
top5,2,3,1,0.8902267217636108,0.8332014083862305,0.05702531337738037
top5,2,4,0,0.8531321287155151,0.8177568912506104,0.035375237464904785
top5,2,4,1,0.8288857936859131,0.7744848728179932,0.05440092086791992
top5,3,0,0,0.8594813346862793,0.7718732953071594,0.08760803937911987
top5,3,0,1,0.8595280647277832,0.7882920503616333,0.0712360143661499
top5,3,1,0,0.8305007219314575,0.7598034739494324,0.07069724798202515
top5,3,1,1,0.8673834800720215,0.8089780807495117,0.058405399322509766
top5,3,2,0,0.859667181968689,0.7775148749351501,0.08215230703353882
top5,3,2,1,0.8239262104034424,0.7833554148674011,0.04057079553604126
top5,3,3,0,0.8386191129684448,0.7818577289581299,0.05676138401031494
top5,3,3,1,0.888852596282959,0.8332014083862305,0.055651187896728516
top5,3,4,0,0.8603194952011108,0.8177568912506104,0.04256260395050049
top5,3,4,1,0.8268294334411621,0.7744848728179932,0.052344560623168945
top5,4,0,0,0.8600960969924927,0.7718732953071594,0.08822280168533325
top5,4,0,1,0.8527908325195312,0.7882920503616333,0.06449878215789795
top5,4,1,0,0.837134599685669,0.7598034739494324,0.07733112573623657
top5,4,1,1,0.8518215417861938,0.8089780807495117,0.04284346103668213
top5,4,2,0,0.8427939414978027,0.7775148749351501,0.06527906656265259
top5,4,2,1,0.8154665231704712,0.7833554148674011,0.03211110830307007
top5,4,3,0,0.8530017137527466,0.7818577289581299,0.0711439847946167
top5,4,3,1,0.8757890462875366,0.8332014083862305,0.04258763790130615
top5,4,4,0,0.8515962362289429,0.8177568912506104,0.03383934497833252
top5,4,4,1,0.8142318725585938,0.7744848728179932,0.039746999740600586
top5,5,0,0,0.8630096912384033,0.7718732953071594,0.0911363959312439
top5,5,0,1,0.8544749021530151,0.7882920503616333,0.06618285179138184
top5,5,1,0,0.8423155546188354,0.7598034739494324,0.08251208066940308
top5,5,1,1,0.8545300960540771,0.8089780807495117,0.04555201530456543
top5,5,2,0,0.8303564786911011,0.7775148749351501,0.05284160375595093
top5,5,2,1,0.8105143308639526,0.7833554148674011,0.027158915996551514
top5,5,3,0,0.8345687389373779,0.7818577289581299,0.05271100997924805
top5,5,3,1,0.8742214441299438,0.8332014083862305,0.04102003574371338
top5,5,4,0,0.8479056358337402,0.8177568912506104,0.030148744583129883
top5,5,4,1,0.8078597784042358,0.7744848728179932,0.033374905586242676
